ps_id,feedback_type,feedback_amount,length,model_no_forg,model_forg
2105,2,1,1.86,1,-1
2105,2,1,1.17,1,-1
2105,2,1,-1.30,1,-1
2105,2,1,1.23,1,-1
2105,2,1,1.78,1,-1
2105,2,1,-0.73,1,-1
2105,2,1,-0.77,1,-1
2105,2,1,-1.56,1,-1
2105,2,1,-1.00,1,-1
2105,2,1,0.22,1,-1
2105,2,1,-0.80,1,-1
2105,2,1,-1.75,1,-1
2105,2,1,0.06,1,-1
2105,2,1,0.99,1,-1
2105,2,1,1.11,1,-1
2105,2,1,1.03,1,-1
2105,2,1,0.74,1,-1
2105,2,1,1.49,1,-1
2105,2,1,-1.29,1,-1
2105,2,1,-0.90,1,-1
2105,2,1,0.68,1,-1
2105,2,1,-0.02,1,-1
2105,2,1,-1.85,1,-1
2105,2,1,-0.08,1,-1
2105,2,1,0.54,1,-1
2105,2,1,-0.40,1,-1
2105,2,1,2.09,1,-1
2105,2,1,0.81,1,-1
2105,2,1,1.42,1,-1
2105,2,1,0.80,1,-1
2105,2,1,1.39,1,-1
2105,2,1,-1.18,1,-1
2105,2,1,0.88,1,-1
2105,2,1,-0.12,1,-1
2105,2,1,-0.18,1,-1
2105,2,1,-1.21,1,-1
2105,2,1,-0.98,1,-1
2105,2,1,-1.86,1,-1
2105,2,1,0.82,1,-1
2105,2,1,1.04,1,-1
2105,2,1,0.58,1,-1
2105,2,1,0.92,1,-1
2105,2,1,-0.80,1,-1
2105,2,1,-1.79,1,-1
2105,2,1,1.41,1,-1
2105,2,1,-0.68,1,-1
2105,2,1,-0.67,1,-1
2105,2,1,0.71,1,-1
2105,2,1,0.32,1,-1
2105,2,1,0.84,1,-1
2105,2,1,-1.09,1,-1
2105,2,1,1.67,1,-1
2105,2,1,-0.92,1,-1
2105,2,1,-1.94,1,-1
2105,2,1,-1.17,1,-1
2105,2,1,-0.91,1,-1
2105,2,1,1.62,1,-1
2105,2,1,0.70,1,-1
2105,2,1,-1.04,1,-1
2106,2,1,-0.06,1,-1
2106,2,1,1.54,1,-1
2106,2,1,-0.95,1,-1
2106,2,1,-1.22,1,-1
2106,2,1,-1.15,1,-1
2106,2,1,-0.51,1,-1
2106,2,1,-1.56,1,-1
2106,2,1,1.64,1,-1
2106,2,1,0.58,1,-1
2106,2,1,1.23,1,-1
2106,2,1,1.13,1,-1
2106,2,1,-1.12,1,-1
2106,2,1,0.88,1,-1
2106,2,1,-0.18,1,-1
2106,2,1,-0.44,1,-1
2106,2,1,-0.40,1,-1
2106,2,1,0.76,1,-1
2106,2,1,0.14,1,-1
2106,2,1,-1.48,1,-1
2106,2,1,-1.11,1,-1
2106,2,1,-0.65,1,-1
2106,2,1,1.14,1,-1
2106,2,1,0.38,1,-1
2106,2,1,1.14,1,-1
2106,2,1,-0.53,1,-1
2106,2,1,2.48,1,-1
2106,2,1,-1.37,1,-1
2106,2,1,1.68,1,-1
2106,2,1,-1.60,1,-1
2106,2,1,0.84,1,-1
2106,2,1,-0.41,1,-1
2106,2,1,-1.11,1,-1
2106,2,1,-1.02,1,-1
2106,2,1,-1.50,1,-1
2106,2,1,-1.41,1,-1
2106,2,1,1.14,1,-1
2106,2,1,-0.79,1,-1
2106,2,1,1.58,1,-1
2106,2,1,0.67,1,-1
2106,2,1,1.21,1,-1
2106,2,1,-0.08,1,-1
2106,2,1,1.31,1,-1
2106,2,1,-1.00,1,-1
2106,2,1,-1.20,1,-1
2106,2,1,-1.23,1,-1
2106,2,1,-1.01,1,-1
2106,2,1,-1.20,1,-1
2106,2,1,-0.93,1,-1
2106,2,1,-0.84,1,-1
2106,2,1,0.58,1,-1
2106,2,1,1.30,1,-1
2106,2,1,-0.69,1,-1
2106,2,1,0.73,1,-1
2106,2,1,0.79,1,-1
2106,2,1,1.05,1,-1
2106,2,1,-0.90,1,-1
2106,2,1,0.81,1,-1
2106,2,1,1.56,1,-1
2106,2,1,0.37,1,-1
2106,2,1,1.99,1,-1
2107,2,1,-0.06,1,-1
2107,2,1,-0.43,1,-1
2107,2,1,1.03,1,-1
2107,2,1,-0.65,1,-1
2107,2,1,1.21,1,-1
2107,2,1,-1.05,1,-1
2107,2,1,1.42,1,-1
2107,2,1,0.31,1,-1
2107,2,1,-0.88,1,-1
2107,2,1,0.71,1,-1
2107,2,1,0.35,1,-1
2107,2,1,-0.82,1,-1
2107,2,1,0.46,1,-1
2107,2,1,1.01,1,-1
2107,2,1,0.98,1,-1
2107,2,1,1.04,1,-1
2107,2,1,-1.66,1,-1
2107,2,1,0.76,1,-1
2107,2,1,0.74,1,-1
2107,2,1,-0.30,1,-1
2107,2,1,-0.78,1,-1
2107,2,1,-0.18,1,-1
2107,2,1,-0.96,1,-1
2107,2,1,0.91,1,-1
2107,2,1,-1.38,1,-1
2107,2,1,-1.32,1,-1
2107,2,1,0.98,1,-1
2107,2,1,-1.54,1,-1
2107,2,1,-1.55,1,-1
2107,2,1,1.51,1,-1
2107,2,1,-1.01,1,-1
2107,2,1,-1.52,1,-1
2107,2,1,-0.60,1,-1
2107,2,1,0.88,1,-1
2107,2,1,1.85,1,-1
2107,2,1,1.34,1,-1
2107,2,1,0.15,1,-1
2107,2,1,1.34,1,-1
2107,2,1,-0.99,1,-1
2107,2,1,-1.29,1,-1
2107,2,1,-1.32,1,-1
2107,2,1,1.57,1,-1
2107,2,1,-0.70,1,-1
2107,2,1,-1.98,1,-1
2107,2,1,-0.75,1,-1
2107,2,1,1.37,1,-1
2107,2,1,0.26,1,-1
2107,2,1,0.59,1,-1
2107,2,1,0.38,1,-1
2107,2,1,-1.17,1,-1
2107,2,1,1.97,1,-1
2107,2,1,0.21,1,-1
2107,2,1,1.03,1,-1
2107,2,1,2.22,1,-1
2107,2,1,1.42,1,-1
2107,2,1,-1.13,1,-1
2107,2,1,-1.53,1,-1
2107,2,1,-0.33,1,-1
2107,2,1,-0.60,1,-1
2107,2,1,-0.85,1,-1
2108,2,1,1.21,1,-1
2108,2,1,-1.52,1,-1
2108,2,1,0.93,1,-1
2108,2,1,0.44,1,-1
2108,2,1,-1.39,1,-1
2108,2,1,0.71,1,-1
2108,2,1,-1.53,1,-1
2108,2,1,-1.48,1,-1
2108,2,1,-1.13,1,-1
2108,2,1,0.80,1,-1
2108,2,1,1.23,1,-1
2108,2,1,-0.87,1,-1
2108,2,1,0.38,1,-1
2108,2,1,-0.36,1,-1
2108,2,1,-0.63,1,-1
2108,2,1,-1.05,1,-1
2108,2,1,0.85,1,-1
2108,2,1,-1.10,1,-1
2108,2,1,-0.99,1,-1
2108,2,1,-1.03,1,-1
2108,2,1,-1.02,1,-1
2108,2,1,0.55,1,-1
2108,2,1,1.41,1,-1
2108,2,1,0.91,1,-1
2108,2,1,-0.86,1,-1
2108,2,1,1.44,1,-1
2108,2,1,1.08,1,-1
2108,2,1,0.61,1,-1
2108,2,1,1.65,1,-1
2108,2,1,-1.19,1,-1
2108,2,1,1.19,1,-1
2108,2,1,0.49,1,-1
2108,2,1,1.07,1,-1
2108,2,1,1.62,1,-1
2108,2,1,-1.27,1,-1
2108,2,1,-1.25,1,-1
2108,2,1,1.21,1,-1
2108,2,1,-0.57,1,-1
2108,2,1,1.41,1,-1
2108,2,1,-1.00,1,-1
2108,2,1,0.76,1,-1
2108,2,1,1.07,1,-1
2108,2,1,-0.77,1,-1
2108,2,1,-0.38,1,-1
2108,2,1,0.89,1,-1
2108,2,1,-1.61,1,-1
2108,2,1,-1.40,1,-1
2108,2,1,1.06,1,-1
2108,2,1,-1.03,1,-1
2108,2,1,-0.81,1,-1
2108,2,1,2.00,1,-1
2108,2,1,0.55,1,-1
2108,2,1,-1.49,1,-1
2108,2,1,-0.54,1,-1
2108,2,1,0.71,1,-1
2108,2,1,1.14,1,-1
2108,2,1,-0.79,1,-1
2108,2,1,0.96,1,-1
2108,2,1,-0.88,1,-1
2108,2,1,0.44,1,-1
2109,2,1,1.09,-1,-1
2109,2,1,-1.16,-1,-1
2109,2,1,-1.63,-1,-1
2109,2,1,-1.95,-1,-1
2109,2,1,0.72,-1,-1
2109,2,1,-1.09,-1,-1
2109,2,1,0.77,-1,-1
2109,2,1,0.09,-1,-1
2109,2,1,-0.12,-1,-1
2109,2,1,-1.31,-1,-1
2109,2,1,0.88,-1,-1
2109,2,1,1.68,-1,-1
2109,2,1,1.81,-1,-1
2109,2,1,1.23,-1,-1
2109,2,1,-1.46,-1,-1
2109,2,1,-1.36,-1,-1
2109,2,1,-1.46,-1,-1
2109,2,1,0.38,-1,-1
2109,2,1,-1.51,-1,-1
2109,2,1,-0.26,-1,-1
2109,2,1,1.08,-1,-1
2109,2,1,-1.09,-1,-1
2109,2,1,0.06,-1,-1
2109,2,1,-0.58,-1,-1
2109,2,1,-1.21,-1,-1
2109,2,1,-1.16,-1,-1
2109,2,1,0.26,-1,-1
2109,2,1,1.74,-1,-1
2109,2,1,0.37,-1,-1
2109,2,1,-0.86,-1,-1
2109,2,1,-1.03,-1,-1
2109,2,1,-2.40,-1,-1
2109,2,1,-2.15,-1,-1
2109,2,1,0.87,-1,-1
2109,2,1,-0.90,-1,-1
2109,2,1,-0.58,-1,-1
2109,2,1,0.64,-1,-1
2109,2,1,0.65,-1,-1
2109,2,1,-2.16,-1,-1
2109,2,1,1.43,-1,-1
2109,2,1,-0.89,-1,-1
2109,2,1,1.03,-1,-1
2109,2,1,-0.93,-1,-1
2109,2,1,-0.82,-1,-1
2109,2,1,0.23,-1,-1
2109,2,1,-0.67,-1,-1
2109,2,1,-1.04,-1,-1
2109,2,1,0.72,-1,-1
2109,2,1,-1.01,-1,-1
2109,2,1,0.99,-1,-1
2109,2,1,1.70,-1,-1
2109,2,1,1.38,-1,-1
2109,2,1,2.18,-1,-1
2109,2,1,1.58,-1,-1
2109,2,1,1.27,-1,-1
2109,2,1,1.15,-1,-1
2109,2,1,0.33,-1,-1
2109,2,1,1.03,-1,-1
2109,2,1,0.07,-1,-1
2109,2,1,0.41,-1,-1
2110,2,1,-2.05,1,-1
2110,2,1,1.23,1,-1
2110,2,1,1.92,1,-1
2110,2,1,-0.63,1,-1
2110,2,1,0.73,1,-1
2110,2,1,-0.25,1,-1
2110,2,1,-0.55,1,-1
2110,2,1,-0.77,1,-1
2110,2,1,-0.93,1,-1
2110,2,1,0.63,1,-1
2110,2,1,-1.65,1,-1
2110,2,1,0.28,1,-1
2110,2,1,1.35,1,-1
2110,2,1,0.64,1,-1
2110,2,1,-1.30,1,-1
2110,2,1,-0.62,1,-1
2110,2,1,0.56,1,-1
2110,2,1,-0.93,1,-1
2110,2,1,-0.91,1,-1
2110,2,1,-1.61,1,-1
2110,2,1,-1.16,1,-1
2110,2,1,-1.67,1,-1
2110,2,1,-0.87,1,-1
2110,2,1,1.10,1,-1
2110,2,1,1.08,1,-1
2110,2,1,1.46,1,-1
2110,2,1,-0.82,1,-1
2110,2,1,-0.33,1,-1
2110,2,1,2.01,1,-1
2110,2,1,0.93,1,-1
2110,2,1,0.74,1,-1
2110,2,1,1.44,1,-1
2110,2,1,-0.75,1,-1
2110,2,1,1.33,1,-1
2110,2,1,1.62,1,-1
2110,2,1,-0.62,1,-1
2110,2,1,-1.45,1,-1
2110,2,1,-1.23,1,-1
2110,2,1,1.27,1,-1
2110,2,1,0.45,1,-1
2110,2,1,-0.74,1,-1
2110,2,1,2.43,1,-1
2110,2,1,0.74,1,-1
2110,2,1,-1.27,1,-1
2110,2,1,1.12,1,-1
2110,2,1,-0.79,1,-1
2110,2,1,0.90,1,-1
2110,2,1,1.69,1,-1
2110,2,1,-0.92,1,-1
2110,2,1,0.89,1,-1
2110,2,1,-0.91,1,-1
2110,2,1,1.27,1,-1
2110,2,1,-0.24,1,-1
2110,2,1,-1.22,1,-1
2110,2,1,0.34,1,-1
2110,2,1,-1.74,1,-1
2110,2,1,1.08,1,-1
2110,2,1,0.62,1,-1
2110,2,1,-0.14,1,-1
2110,2,1,0.19,1,-1
2111,2,1,-0.71,1,-1
2111,2,1,-0.98,1,-1
2111,2,1,-0.51,1,-1
2111,2,1,1.32,1,-1
2111,2,1,0.77,1,-1
2111,2,1,-0.34,1,-1
2111,2,1,-0.82,1,-1
2111,2,1,-0.94,1,-1
2111,2,1,1.10,1,-1
2111,2,1,-1.05,1,-1
2111,2,1,1.16,1,-1
2111,2,1,-1.34,1,-1
2111,2,1,-1.81,1,-1
2111,2,1,-0.83,1,-1
2111,2,1,0.87,1,-1
2111,2,1,0.66,1,-1
2111,2,1,-0.24,1,-1
2111,2,1,1.71,1,-1
2111,2,1,-0.51,1,-1
2111,2,1,-1.19,1,-1
2111,2,1,-1.24,1,-1
2111,2,1,1.02,1,-1
2111,2,1,-0.88,1,-1
2111,2,1,-1.04,1,-1
2111,2,1,0.83,1,-1
2111,2,1,0.41,1,-1
2111,2,1,0.52,1,-1
2111,2,1,1.32,1,-1
2111,2,1,-1.27,1,-1
2111,2,1,-0.48,1,-1
2111,2,1,-0.15,1,-1
2111,2,1,-0.09,1,-1
2111,2,1,0.90,1,-1
2111,2,1,1.48,1,-1
2111,2,1,1.66,1,-1
2111,2,1,0.65,1,-1
2111,2,1,0.80,1,-1
2111,2,1,-1.74,1,-1
2111,2,1,1.03,1,-1
2111,2,1,1.11,1,-1
2111,2,1,0.52,1,-1
2111,2,1,-0.95,1,-1
2111,2,1,1.26,1,-1
2111,2,1,1.06,1,-1
2111,2,1,-1.60,1,-1
2111,2,1,1.19,1,-1
2111,2,1,1.45,1,-1
2111,2,1,-1.59,1,-1
2111,2,1,-0.88,1,-1
2111,2,1,-1.29,1,-1
2111,2,1,-0.27,1,-1
2111,2,1,1.14,1,-1
2111,2,1,0.35,1,-1
2111,2,1,-0.20,1,-1
2111,2,1,-1.84,1,-1
2111,2,1,1.28,1,-1
2111,2,1,1.13,1,-1
2111,2,1,1.09,1,-1
2111,2,1,-0.49,1,-1
2111,2,1,-1.67,1,-1
2112,2,1,1.24,1,-1
2112,2,1,0.72,1,-1
2112,2,1,-0.36,1,-1
2112,2,1,1.50,1,-1
2112,2,1,-1.61,1,-1
2112,2,1,-1.53,1,-1
2112,2,1,0.19,1,-1
2112,2,1,1.32,1,-1
2112,2,1,1.63,1,-1
2112,2,1,0.23,1,-1
2112,2,1,-0.44,1,-1
2112,2,1,-0.59,1,-1
2112,2,1,-1.91,1,-1
2112,2,1,-0.39,1,-1
2112,2,1,1.93,1,-1
2112,2,1,1.93,1,-1
2112,2,1,1.49,1,-1
2112,2,1,-1.22,1,-1
2112,2,1,-0.41,1,-1
2112,2,1,-0.13,1,-1
2112,2,1,-1.00,1,-1
2112,2,1,1.56,1,-1
2112,2,1,-0.58,1,-1
2112,2,1,0.55,1,-1
2112,2,1,1.15,1,-1
2112,2,1,0.76,1,-1
2112,2,1,-0.45,1,-1
2112,2,1,-1.13,1,-1
2112,2,1,1.80,1,-1
2112,2,1,-2.15,1,-1
2112,2,1,0.20,1,-1
2112,2,1,0.93,1,-1
2112,2,1,-0.72,1,-1
2112,2,1,-1.69,1,-1
2112,2,1,-0.63,1,-1
2112,2,1,-0.44,1,-1
2112,2,1,1.88,1,-1
2112,2,1,-1.11,1,-1
2112,2,1,1.87,1,-1
2112,2,1,0.23,1,-1
2112,2,1,0.48,1,-1
2112,2,1,-1.05,1,-1
2112,2,1,0.26,1,-1
2112,2,1,-1.47,1,-1
2112,2,1,0.21,1,-1
2112,2,1,-0.28,1,-1
2112,2,1,0.37,1,-1
2112,2,1,-1.20,1,-1
2112,2,1,0.89,1,-1
2112,2,1,-1.34,1,-1
2112,2,1,0.97,1,-1
2112,2,1,-0.53,1,-1
2112,2,1,-1.42,1,-1
2112,2,1,0.66,1,-1
2112,2,1,-1.07,1,-1
2112,2,1,0.80,1,-1
2112,2,1,0.12,1,-1
2112,2,1,0.53,1,-1
2112,2,1,-1.06,1,-1
2112,2,1,0.32,1,-1
2113,2,1,-0.66,1,-1
2113,2,1,-0.37,1,-1
2113,2,1,1.12,1,-1
2113,2,1,1.00,1,-1
2113,2,1,0.48,1,-1
2113,2,1,-1.52,1,-1
2113,2,1,-0.75,1,-1
2113,2,1,-0.18,1,-1
2113,2,1,-1.49,1,-1
2113,2,1,1.41,1,-1
2113,2,1,-0.61,1,-1
2113,2,1,0.76,1,-1
2113,2,1,-1.84,1,-1
2113,2,1,-0.72,1,-1
2113,2,1,-1.40,1,-1
2113,2,1,1.20,1,-1
2113,2,1,0.86,1,-1
2113,2,1,0.48,1,-1
2113,2,1,1.33,1,-1
2113,2,1,1.27,1,-1
2113,2,1,0.54,1,-1
2113,2,1,-0.57,1,-1
2113,2,1,-1.36,1,-1
2113,2,1,-1.70,1,-1
2113,2,1,1.21,1,-1
2113,2,1,-0.89,1,-1
2113,2,1,1.76,1,-1
2113,2,1,0.23,1,-1
2113,2,1,0.10,1,-1
2113,2,1,-0.91,1,-1
2113,2,1,0.52,1,-1
2113,2,1,-1.19,1,-1
2113,2,1,1.67,1,-1
2113,2,1,0.77,1,-1
2113,2,1,-0.19,1,-1
2113,2,1,-0.12,1,-1
2113,2,1,0.71,1,-1
2113,2,1,-1.48,1,-1
2113,2,1,1.24,1,-1
2113,2,1,1.57,1,-1
2113,2,1,-0.43,1,-1
2113,2,1,0.94,1,-1
2113,2,1,-0.37,1,-1
2113,2,1,1.74,1,-1
2113,2,1,0.91,1,-1
2113,2,1,-0.04,1,-1
2113,2,1,-0.42,1,-1
2113,2,1,-0.90,1,-1
2113,2,1,-0.99,1,-1
2113,2,1,0.59,1,-1
2113,2,1,-1.28,1,-1
2113,2,1,1.75,1,-1
2113,2,1,2.79,1,-1
2113,2,1,-0.49,1,-1
2113,2,1,-1.02,1,-1
2113,2,1,-1.11,1,-1
2113,2,1,0.64,1,-1
2113,2,1,1.44,1,-1
2113,2,1,-0.94,1,-1
2113,2,1,0.97,1,-1
2114,2,1,1.22,1,-1
2114,2,1,-1.44,1,-1
2114,2,1,-0.98,1,-1
2114,2,1,0.60,1,-1
2114,2,1,1.13,1,-1
2114,2,1,-1.36,1,-1
2114,2,1,1.45,1,-1
2114,2,1,0.76,1,-1
2114,2,1,0.29,1,-1
2114,2,1,1.18,1,-1
2114,2,1,1.18,1,-1
2114,2,1,1.37,1,-1
2114,2,1,-0.53,1,-1
2114,2,1,-1.29,1,-1
2114,2,1,1.37,1,-1
2114,2,1,1.08,1,-1
2114,2,1,-1.20,1,-1
2114,2,1,-1.30,1,-1
2114,2,1,1.77,1,-1
2114,2,1,-1.51,1,-1
2114,2,1,-0.92,1,-1
2114,2,1,-1.03,1,-1
2114,2,1,0.75,1,-1
2114,2,1,-1.44,1,-1
2114,2,1,-1.55,1,-1
2114,2,1,2.16,1,-1
2114,2,1,0.13,1,-1
2114,2,1,0.14,1,-1
2114,2,1,0.50,1,-1
2114,2,1,-0.82,1,-1
2114,2,1,1.09,1,-1
2114,2,1,-0.84,1,-1
2114,2,1,-2.21,1,-1
2114,2,1,-1.49,1,-1
2114,2,1,-1.30,1,-1
2114,2,1,-0.92,1,-1
2114,2,1,-1.08,1,-1
2114,2,1,0.34,1,-1
2114,2,1,1.39,1,-1
2114,2,1,-0.64,1,-1
2114,2,1,1.16,1,-1
2114,2,1,-0.09,1,-1
2114,2,1,1.22,1,-1
2114,2,1,-0.91,1,-1
2114,2,1,-0.47,1,-1
2114,2,1,1.98,1,-1
2114,2,1,-0.69,1,-1
2114,2,1,-1.45,1,-1
2114,2,1,1.72,1,-1
2114,2,1,-0.58,1,-1
2114,2,1,-1.44,1,-1
2114,2,1,-0.40,1,-1
2114,2,1,-1.21,1,-1
2114,2,1,1.04,1,-1
2114,2,1,0.08,1,-1
2114,2,1,0.65,1,-1
2114,2,1,0.76,1,-1
2114,2,1,1.38,1,-1
2114,2,1,-0.37,1,-1
2114,2,1,-0.81,1,-1
2115,2,1,1.54,1,-1
2115,2,1,0.46,1,-1
2115,2,1,0.87,1,-1
2115,2,1,-0.36,1,-1
2115,2,1,-0.19,1,-1
2115,2,1,-0.80,1,-1
2115,2,1,0.10,1,-1
2115,2,1,0.36,1,-1
2115,2,1,1.06,1,-1
2115,2,1,1.16,1,-1
2115,2,1,0.95,1,-1
2115,2,1,0.99,1,-1
2115,2,1,-1.54,1,-1
2115,2,1,0.77,1,-1
2115,2,1,-1.36,1,-1
2115,2,1,-0.47,1,-1
2115,2,1,0.71,1,-1
2115,2,1,1.60,1,-1
2115,2,1,1.22,1,-1
2115,2,1,-1.29,1,-1
2115,2,1,-1.29,1,-1
2115,2,1,0.54,1,-1
2115,2,1,-1.85,1,-1
2115,2,1,0.47,1,-1
2115,2,1,-1.04,1,-1
2115,2,1,1.20,1,-1
2115,2,1,-0.76,1,-1
2115,2,1,1.28,1,-1
2115,2,1,1.69,1,-1
2115,2,1,1.59,1,-1
2115,2,1,-0.48,1,-1
2115,2,1,0.66,1,-1
2115,2,1,1.09,1,-1
2115,2,1,-0.70,1,-1
2115,2,1,-0.01,1,-1
2115,2,1,-0.10,1,-1
2115,2,1,0.79,1,-1
2115,2,1,-1.58,1,-1
2115,2,1,-0.72,1,-1
2115,2,1,1.72,1,-1
2115,2,1,-1.04,1,-1
2115,2,1,0.51,1,-1
2115,2,1,1.06,1,-1
2115,2,1,1.14,1,-1
2115,2,1,-1.43,1,-1
2115,2,1,-0.84,1,-1
2115,2,1,0.30,1,-1
2115,2,1,-0.85,1,-1
2115,2,1,-1.12,1,-1
2115,2,1,-0.75,1,-1
2115,2,1,-0.52,1,-1
2115,2,1,1.09,1,-1
2115,2,1,-1.08,1,-1
2115,2,1,0.10,1,-1
2115,2,1,-1.02,1,-1
2115,2,1,-1.04,1,-1
2115,2,1,0.91,1,-1
2115,2,1,-1.09,1,-1
2115,2,1,-0.54,1,-1
2115,2,1,-0.38,1,-1
2116,2,1,-1.16,1,-1
2116,2,1,-1.06,1,-1
2116,2,1,0.28,1,-1
2116,2,1,0.64,1,-1
2116,2,1,1.25,1,-1
2116,2,1,0.72,1,-1
2116,2,1,0.81,1,-1
2116,2,1,-1.28,1,-1
2116,2,1,1.04,1,-1
2116,2,1,-1.66,1,-1
2116,2,1,0.95,1,-1
2116,2,1,0.74,1,-1
2116,2,1,-0.06,1,-1
2116,2,1,-0.21,1,-1
2116,2,1,-1.47,1,-1
2116,2,1,0.58,1,-1
2116,2,1,0.82,1,-1
2116,2,1,0.24,1,-1
2116,2,1,0.75,1,-1
2116,2,1,1.15,1,-1
2116,2,1,1.11,1,-1
2116,2,1,-1.31,1,-1
2116,2,1,-1.38,1,-1
2116,2,1,0.82,1,-1
2116,2,1,1.64,1,-1
2116,2,1,0.48,1,-1
2116,2,1,1.06,1,-1
2116,2,1,-0.83,1,-1
2116,2,1,-1.29,1,-1
2116,2,1,-1.31,1,-1
2116,2,1,-1.35,1,-1
2116,2,1,-1.35,1,-1
2116,2,1,1.08,1,-1
2116,2,1,-1.63,1,-1
2116,2,1,-0.29,1,-1
2116,2,1,-0.17,1,-1
2116,2,1,-1.30,1,-1
2116,2,1,1.44,1,-1
2116,2,1,1.17,1,-1
2116,2,1,-0.40,1,-1
2116,2,1,-0.78,1,-1
2116,2,1,-1.19,1,-1
2116,2,1,0.82,1,-1
2116,2,1,-1.61,1,-1
2116,2,1,0.85,1,-1
2116,2,1,0.09,1,-1
2116,2,1,0.97,1,-1
2116,2,1,-1.19,1,-1
2116,2,1,-0.91,1,-1
2116,2,1,-1.75,1,-1
2116,2,1,0.85,1,-1
2116,2,1,0.52,1,-1
2116,2,1,-1.03,1,-1
2116,2,1,0.90,1,-1
2116,2,1,0.90,1,-1
2116,2,1,-1.30,1,-1
2116,2,1,-2.06,1,-1
2116,2,1,1.18,1,-1
2116,2,1,-0.51,1,-1
2116,2,1,-0.90,1,-1
2117,2,1,1.75,1,-1
2117,2,1,-1.29,1,-1
2117,2,1,0.85,1,-1
2117,2,1,-0.35,1,-1
2117,2,1,-1.17,1,-1
2117,2,1,-0.07,1,-1
2117,2,1,0.39,1,-1
2117,2,1,0.71,1,-1
2117,2,1,1.48,1,-1
2117,2,1,0.06,1,-1
2117,2,1,-0.79,1,-1
2117,2,1,0.67,1,-1
2117,2,1,-0.62,1,-1
2117,2,1,0.65,1,-1
2117,2,1,1.03,1,-1
2117,2,1,-0.87,1,-1
2117,2,1,-0.72,1,-1
2117,2,1,1.59,1,-1
2117,2,1,-0.84,1,-1
2117,2,1,1.62,1,-1
2117,2,1,-0.39,1,-1
2117,2,1,1.21,1,-1
2117,2,1,-0.86,1,-1
2117,2,1,-1.39,1,-1
2117,2,1,0.81,1,-1
2117,2,1,0.57,1,-1
2117,2,1,1.62,1,-1
2117,2,1,0.80,1,-1
2117,2,1,-1.33,1,-1
2117,2,1,-0.52,1,-1
2117,2,1,-1.71,1,-1
2117,2,1,0.49,1,-1
2117,2,1,-1.67,1,-1
2117,2,1,-0.80,1,-1
2117,2,1,1.32,1,-1
2117,2,1,1.02,1,-1
2117,2,1,-1.00,1,-1
2117,2,1,-0.87,1,-1
2117,2,1,-0.71,1,-1
2117,2,1,-0.51,1,-1
2117,2,1,0.83,1,-1
2117,2,1,-2.41,1,-1
2117,2,1,1.57,1,-1
2117,2,1,0.56,1,-1
2117,2,1,1.07,1,-1
2117,2,1,-0.41,1,-1
2117,2,1,-1.60,1,-1
2117,2,1,0.87,1,-1
2117,2,1,1.03,1,-1
2117,2,1,1.66,1,-1
2117,2,1,0.39,1,-1
2117,2,1,1.08,1,-1
2117,2,1,1.02,1,-1
2117,2,1,1.35,1,-1
2117,2,1,-0.74,1,-1
2117,2,1,-1.02,1,-1
2117,2,1,0.63,1,-1
2117,2,1,0.83,1,-1
2117,2,1,-0.73,1,-1
2117,2,1,-1.15,1,-1
2118,2,1,-1.41,1,-1
2118,2,1,-1.31,1,-1
2118,2,1,0.83,1,-1
2118,2,1,1.31,1,-1
2118,2,1,-1.00,1,-1
2118,2,1,2.58,1,-1
2118,2,1,-0.39,1,-1
2118,2,1,-1.59,1,-1
2118,2,1,-0.18,1,-1
2118,2,1,-1.44,1,-1
2118,2,1,1.00,1,-1
2118,2,1,1.46,1,-1
2118,2,1,0.65,1,-1
2118,2,1,-1.08,1,-1
2118,2,1,-1.80,1,-1
2118,2,1,-1.43,1,-1
2118,2,1,0.42,1,-1
2118,2,1,1.10,1,-1
2118,2,1,0.69,1,-1
2118,2,1,1.57,1,-1
2118,2,1,-0.48,1,-1
2118,2,1,-0.58,1,-1
2118,2,1,-0.55,1,-1
2118,2,1,-1.58,1,-1
2118,2,1,-1.64,1,-1
2118,2,1,1.48,1,-1
2118,2,1,1.29,1,-1
2118,2,1,0.77,1,-1
2118,2,1,0.33,1,-1
2118,2,1,1.70,1,-1
2118,2,1,1.26,1,-1
2118,2,1,-1.43,1,-1
2118,2,1,-0.97,1,-1
2118,2,1,1.52,1,-1
2118,2,1,-0.96,1,-1
2118,2,1,-1.38,1,-1
2118,2,1,1.17,1,-1
2118,2,1,-1.39,1,-1
2118,2,1,-0.28,1,-1
2118,2,1,-0.84,1,-1
2118,2,1,1.19,1,-1
2118,2,1,0.54,1,-1
2118,2,1,-0.02,1,-1
2118,2,1,1.01,1,-1
2118,2,1,-0.97,1,-1
2118,2,1,1.32,1,-1
2118,2,1,-0.98,1,-1
2118,2,1,0.36,1,-1
2118,2,1,-0.84,1,-1
2118,2,1,-0.84,1,-1
2118,2,1,-1.02,1,-1
2118,2,1,0.76,1,-1
2118,2,1,0.87,1,-1
2118,2,1,1.33,1,-1
2118,2,1,-1.38,1,-1
2118,2,1,1.21,1,-1
2118,2,1,-0.52,1,-1
2118,2,1,-0.82,1,-1
2118,2,1,0.55,1,-1
2118,2,1,0.53,1,-1
2119,2,1,1.13,1,-1
2119,2,1,0.85,1,-1
2119,2,1,-0.70,1,-1
2119,2,1,1.00,1,-1
